,county_x,state_name,lat,lng,population,county_state,density
0,Los Angeles,California,34.3219,-118.2247,9848406,Los Angeles_CA,2425.196078672797
1,Cook,Illinois,41.8401,-87.8168,5185812,Cook_IL,5483.685813382963
2,Harris,Texas,29.8578,-95.3938,4758579,Harris_TX,2752.485206758328
3,Maricopa,Arizona,33.349,-112.4915,4491987,Maricopa_AZ,488.0928683036442
4,San Diego,California,33.0343,-116.735,3282782,San Diego_CA,781.6352333037294
5,Orange,California,33.7031,-117.7609,3164063,Orange_CA,4008.187230808209
6,Miami-Dade,Florida,25.615,-80.5624,2685296,Miami-Dade_FL,1379.8629024798825
7,Kings,New York,40.6413,-73.9383,2646306,Kings_NY,37477.77935136666
8,Dallas,Texas,32.7666,-96.7778,2603816,Dallas_TX,2960.2273760800363
9,Riverside,California,33.7436,-115.9938,2449909,Riverside_CA,339.9171958703383
10,Queens,New York,40.7035,-73.8196,2330124,Queens_NY,21330.318564628342
11,Clark,Nevada,36.2152,-115.0135,2293764,Clark_NV,289.970342614856
12,King,Washington,47.4902,-121.8052,2262713,King_WA,1064.2852439276778
13,San Bernardino,California,34.8414,-116.1785,2187816,San Bernardino_CA,109.10440094751277
14,Tarrant,Texas,32.7719,-97.2911,2135743,Tarrant_TX,2473.5852771536447
15,Bexar,Texas,29.4489,-98.52,2037344,Bexar_TX,1634.032177860477
16,Broward,Florida,26.1523,-80.4871,1946127,Broward_FL,1614.5072175211546
17,Santa Clara,California,37.2318,-121.6951,1903297,Santa Clara_CA,1474.6352726061255
18,Wayne,Michigan,42.2822,-83.283,1773767,Wayne_MI,2888.165757551087
19,Alameda,California,37.6469,-121.8887,1651949,Alameda_CA,2239.7182640291767
20,New York,New York,40.7792,-73.9668,1627788,New York_NY,70896.68989547038
21,Middlesex,Massachusetts,42.4856,-71.3918,1622896,Middlesex_MA,1970.825541009885
22,Sacramento,California,38.4493,-121.3443,1584047,Sacramento_CA,1640.3945528918346
23,Philadelphia,Pennsylvania,40.0077,-75.1339,1582432,Philadelphia_PA,11713.909245688059
24,Suffolk,New York,40.8681,-72.8456,1525680,Suffolk_NY,1672.5279543959657
25,Palm Beach,Florida,26.6476,-80.4655,1507453,Palm Beach_FL,763.6114502231386
26,Hillsborough,Florida,27.9292,-82.3088,1489634,Hillsborough_FL,1417.4705731223414
27,Orange,Florida,28.5144,-81.3235,1440471,Orange_FL,1587.3833269050635
28,Bronx,New York,40.8501,-73.8672,1419250,Bronx_NY,33767.546990245064
29,Nassau,New York,40.7326,-73.5862,1388138,Nassau_NY,4841.947748439081
30,Franklin,Ohio,39.9695,-83.0093,1321635,Franklin_OH,2448.061570378054
31,Travis,Texas,30.3344,-97.782,1307625,Travis_TX,1321.767916708784
32,Oakland,Michigan,42.6604,-83.3858,1272294,Oakland_MI,1458.199906018269
33,Hennepin,Minnesota,45.0046,-93.477,1268903,Hennepin_MN,2279.6575760842225
34,Cuyahoga,Ohio,41.4243,-81.6586,1249418,Cuyahoga_OH,2725.0714301293374
35,Allegheny,Pennsylvania,40.4688,-79.9813,1240476,Allegheny_PA,1698.8865606639552
36,Salt Lake,Utah,40.6673,-111.9236,1184689,Salt Lake_UT,1606.6193821367544
37,Contra Costa,California,37.9192,-121.9275,1161458,Contra Costa_CA,1613.2481422320993
38,Wake,North Carolina,35.7903,-78.6503,1151009,Wake_NC,1383.5573132031927
39,Fairfax,Virginia,38.8368,-77.277,1144474,Fairfax_VA,2897.1091535034425
40,Fairfax,Virginia,38.8368,-77.277,1144474,Fairfax_VA,181374.6434231379
41,Mecklenburg,North Carolina,35.2467,-80.8328,1130906,Mecklenburg_NC,2148.8675229915634
42,Collin,Texas,33.188,-96.5724,1116601,Collin_TX,1317.4300344518383
43,Fulton,Georgia,33.7902,-84.467,1068507,Fulton_GA,2021.1610486891386
44,Montgomery,Maryland,39.1363,-77.2042,1057586,Montgomery_MD,2134.295285760413
45,Pima,Arizona,32.0974,-111.7899,1049947,Pima_AZ,114.29524714601247
46,Fresno,California,36.7582,-119.6493,1012152,Fresno_CA,169.7464081050123
47,Duval,Florida,30.3313,-81.6715,1007189,Duval_FL,1301.8328227797383
48,Honolulu,Hawaii,21.4899,-158.0739,1003666,Honolulu_HI,1673.4181436217218
49,Westchester,New York,41.1626,-73.7561,996888,Westchester_NY,2303.2392218474192
50,St. Louis,Missouri,38.6407,-90.4434,996618,St. Louis_MO,1962.5804927039642
51,Marion,Indiana,39.7817,-86.1385,971822,Marion_IN,2452.547634069401
52,Gwinnett,Georgia,33.9619,-84.0236,966972,Gwinnett_GA,2234.585076144478
53,Pinellas,Florida,27.9198,-82.7255,960565,Pinellas_FL,3431.569734209774
54,Prince George's,Maryland,38.8295,-76.8473,955584,Prince George's_MD,1968.5309931401025
55,Bergen,New Jersey,40.9597,-74.0742,954717,Bergen_NJ,4077.025238074903
56,Erie,New York,42.7639,-78.7323,950044,Erie_NY,909.8208214822689
57,Denton,Texas,33.2055,-97.1168,945644,Denton_TX,1064.2672248857677
58,Milwaukee,Wisconsin,43.0072,-87.9669,927656,Milwaukee_WI,3840.2715681404206
59,DuPage,Illinois,41.852,-88.0856,927263,DuPage_IL,2779.48202991517
60,Pierce,Washington,47.0239,-122.104,924106,Pierce_WA,550.4202131144611
61,Shelby,Tennessee,35.1843,-89.8938,922195,Shelby_TN,1222.2111778193048
62,Kern,California,35.3426,-118.7301,910433,Kern_CA,111.83361667420058
63,Hidalgo,Texas,26.3969,-98.1812,880921,Hidalgo_TX,561.1855390985826
64,Macomb,Michigan,42.6957,-82.9323,877624,Macomb_MI,1826.7088502206311
65,El Paso,Texas,31.7686,-106.2348,866275,El Paso_TX,855.0650965837865
66,Worcester,Massachusetts,42.3514,-71.9077,861664,Worcester_MA,569.4843562053059
67,Middlesex,New Jersey,40.4392,-74.4117,861535,Middlesex_NJ,2781.657626243058
68,Montgomery,Pennsylvania,40.2108,-75.3673,861225,Montgomery_PA,1782.6316443119722
69,Fort Bend,Texas,29.5275,-95.7709,859721,Fort Bend_TX,982.9426964236715
70,Essex,New Jersey,40.788,-74.2481,854130,Essex_NJ,6764.314564029461
71,Baltimore,Maryland,39.4629,-76.6395,849586,Baltimore_MD,1419.3120499841293
72,Ventura,California,34.4561,-119.0836,838259,Ventura_CA,454.26705684712516
73,San Francisco,California,37.7556,-122.445,836321,San Francisco_CA,17912.208181623475
74,Snohomish,Washington,48.0474,-121.6972,834648,Snohomish_WA,399.5328042277388
75,Hamilton,Ohio,39.1955,-84.5428,827878,Hamilton_OH,2032.300667714061
76,Essex,Massachusetts,42.6732,-70.9524,807258,Essex_MA,1612.3554437054347
77,Multnomah,Oregon,45.5468,-122.4149,803863,Multnomah_OR,1846.9843531006593
78,Oklahoma,Oklahoma,35.5515,-97.4072,800487,Oklahoma_OK,1128.8933703761159
79,Lee,Florida,26.578,-81.8332,792692,Lee_FL,986.3892587384742
80,San Joaquin,California,37.9348,-121.2714,787416,San Joaquin_CA,562.729403693328
81,Suffolk,Massachusetts,42.3329,-71.0735,782172,Suffolk_MA,13365.892002734106
82,Jefferson,Kentucky,38.1872,-85.6591,777392,Jefferson_KY,2018.7280895375109
83,Cobb,Georgia,33.9416,-84.5767,769152,Cobb_GA,2261.214170219021
84,DeKalb,Georgia,33.7716,-84.2264,762105,DeKalb_GA,2841.4488646955747
85,Polk,Florida,27.9489,-81.6976,760961,Polk_FL,405.9801107566235
86,Monroe,New York,43.1464,-77.6961,754068,Monroe_NY,1143.7576787149812
87,San Mateo,California,37.4228,-122.3291,745100,San Mateo_CA,1659.2068051751398
88,El Paso,Colorado,38.8321,-104.5254,736008,El Paso_CO,346.1205295210327
89,Norfolk,Massachusetts,42.1603,-71.2118,724540,Norfolk_MA,1813.2539166124432
90,Jackson,Missouri,39.0085,-94.3461,717021,Jackson_MO,1185.472190992659
91,Denver,Colorado,39.762,-104.8758,713734,Denver_CO,4654.281056406912
92,Lake,Illinois,42.3233,-88.0037,711885,Lake_IL,1590.5912056484046
93,Hudson,New Jersey,40.7408,-74.0751,710478,Hudson_NJ,15216.920111372885
94,Davidson,Tennessee,36.1695,-86.7848,709846,Davidson_TN,1413.3038665233146
95,Will,Illinois,41.445,-87.9786,698450,Will_IL,834.5281621143689
96,Utah,Utah,40.1199,-111.6702,683622,Utah_UT,342.0966507033373
97,Bernalillo,New Mexico,35.0514,-106.6702,674357,Bernalillo_NM,578.3358918724218
98,Tulsa,Oklahoma,36.1211,-95.9415,673708,Tulsa_OK,1181.32211116956
99,Jefferson,Alabama,33.5543,-86.8964,669744,Jefferson_AL,601.9575592525683
100,Providence,Rhode Island,41.8721,-71.58,658977,Providence_RI,1594.543518764972
101,Kent,Michigan,43.0322,-85.5493,658844,Kent_MI,769.52474391768
102,Arapahoe,Colorado,39.6498,-104.3393,655709,Arapahoe_CO,816.4317553602112
103,Montgomery,Texas,30.3002,-95.503,654722,Montgomery_TX,627.1103320785801
104,Ocean,New Jersey,39.8856,-74.2814,646434,Ocean_NJ,1015.9583831017792
105,Bucks,Pennsylvania,40.337,-75.1069,645993,Bucks_PA,1063.5730514669565
106,Williamson,Texas,30.6475,-97.6004,643889,Williamson_TX,573.4825476277421
107,Monmouth,New Jersey,40.26,-74.2216,643615,Monmouth_NJ,1363.7644615840998
108,Brevard,Florida,28.2937,-80.7323,620533,Brevard_FL,609.4471562282089
109,Johnson,Kansas,38.8838,-94.8223,614764,Johnson_KS,1289.4081127564077
110,Washington,Oregon,45.5601,-123.0984,600266,Washington_OR,829.3830742659758
111,Anne Arundel,Maryland,39.0065,-76.6051,590936,Anne Arundel_MD,1420.7241429052267
112,Pasco,Florida,28.3092,-82.392,588758,Pasco_FL,790.4383432905954
113,Douglas,Nebraska,41.2953,-96.1543,585461,Douglas_NE,1768.871230890084
114,Jefferson,Colorado,39.5864,-105.2505,579715,Jefferson_CO,750.8386328018754
115,Bristol,Massachusetts,41.7972,-71.1145,578436,Bristol_MA,1040.3525179856115
116,Baltimore,Maryland,39.3051,-76.6144,577193,Baltimore_MD,964.2543310112096
117,Delaware,Pennsylvania,39.9167,-75.3991,576195,Delaware_PA,3127.924651213289
118,New Castle,Delaware,39.5768,-75.6527,573030,New Castle_DE,1344.2888310225915
119,Union,New Jersey,40.6601,-74.31,572549,Union_NJ,5543.121308936005
120,Volusia,Florida,29.0584,-81.1819,568229,Volusia_FL,515.0500793111262
121,Dane,Wisconsin,43.0673,-89.4181,564777,Dane_WI,469.9073958515338
122,Lancaster,Pennsylvania,40.0424,-76.2477,555151,Lancaster_PA,584.9482645986556
123,Stanislaus,California,37.5591,-120.9977,552250,Stanislaus_CA,369.69721312902084
124,Ramsey,Minnesota,45.0171,-93.0996,544438,Ramsey_MN,3494.9159070484016
125,Spokane,Washington,47.6207,-117.404,544323,Spokane_WA,308.63611621419335
126,Guilford,North Carolina,36.0795,-79.7889,542987,Guilford_NC,836.1106833790152
127,Chester,Pennsylvania,39.9731,-75.7484,540896,Chester_PA,715.4992922999589
128,Summit,Ohio,41.126,-81.5322,538087,Summit_OH,1303.7579957356077
129,Greenville,South Carolina,34.8941,-82.3706,537575,Greenville_SC,680.4057816929931
130,Montgomery,Ohio,39.7547,-84.2907,535528,Montgomery_OH,1159.9549471495409
131,Plymouth,Massachusetts,41.9511,-70.8115,531889,Plymouth_MA,804.855867443444
132,Sedgwick,Kansas,37.6848,-97.461,524810,Sedgwick_KS,525.1355840621185
133,Adams,Colorado,39.8736,-104.3379,524408,Adams_CO,439.9654342117406
134,Camden,New Jersey,39.8035,-74.9597,524042,Camden_NJ,2357.3639226270802
135,Passaic,New Jersey,41.0344,-74.3009,518289,Passaic_NJ,2797.1773975929623
136,Kane,Illinois,41.9388,-88.4286,516097,Kane_IL,991.6551379601874
137,Clark,Washington,45.7792,-122.4825,510516,Clark_WA,812.6388844672248
138,Morris,New Jersey,40.862,-74.5445,510375,Morris_NJ,1088.2428196763258
139,Ada,Idaho,43.4511,-116.2412,508052,Ada_ID,481.57044142598505
140,Lake,Indiana,41.4167,-87.3821,498990,Lake_IN,1004.0444283472171
141,Polk,Iowa,41.6854,-93.5734,497441,Polk_IA,873.6998331430578
142,Richmond,New York,40.5808,-74.1531,492734,Richmond_NY,8425.683994528044
143,Washoe,Nevada,40.6655,-119.6643,491770,Washoe_NV,77.53848385514965
144,Knox,Tennessee,35.9932,-83.9371,487401,Knox_TN,958.5827793730087
145,Sonoma,California,38.529,-122.8882,485642,Sonoma_CA,308.1719420260426
146,Prince William,Virginia,38.7029,-77.4809,484625,Prince William_VA,1434.735626739298
147,Tulare,California,36.2202,-118.8005,475774,Tulare_CA,98.62706443033434
148,Seminole,Florida,28.717,-81.2363,474912,Seminole_FL,1540.9214795587282
149,Onondaga,New York,43.0058,-76.1946,471611,Onondaga_NY,604.4047725845519
150,Burlington,New Jersey,39.8777,-74.6681,464226,Burlington_NJ,576.9864648197173
151,Hampden,Massachusetts,42.1351,-72.6316,462853,Hampden_MA,748.4686287192756
